"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-02","1934","02","","","","","","","","","","","95.3","","0.0","","95.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-03","1934","03","","","","","","","","","","","145.0","","0.0","","145.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-04","1934","04","","","","","","","","","","","42.2","","0.0","","42.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-05","1934","05","","","","","","","","","","","90.2","","0.0","","90.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-06","1934","06","","","","","","","","","","","15.7","","0.0","","15.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-07","1934","07","","","","","","","","","","","62.5","","0.0","","62.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-08","1934","08","","","","","","","","","","","36.6","","0.0","","36.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-09","1934","09","","","","","","","","","","","78.0","","0.0","","78.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-10","1934","10","","","","","","","","","","","168.7","","0.0","","168.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-11","1934","11","","","","","","","","","","","268.7","","0.0","","268.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-12","1934","12","","","","","","","","","","","319.5","","21.6","","341.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-01","1935","01","","","","","","","","","","","503.7","","48.3","","551.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-02","1935","02","","","","","","","","","","","93.5","","0.0","","93.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-03","1935","03","","","","","","","","","","","209.0","","0.0","T","209.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-04","1935","04","","","","","","","","","","","56.9","","0.0","","56.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-05","1935","05","","","","","","","","","","","14.5","","0.0","","14.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-06","1935","06","","","","","","","","","","","30.7","","0.0","","30.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-07","1935","07","","","","","","","","","","","46.7","","0.0","","46.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-08","1935","08","","","","","","","","","","","42.7","","0.0","","42.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-09","1935","09","","","","","","","","","","","64.3","","0.0","","64.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-10","1935","10","","","","","","","","","","","177.5","","0.0","","177.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-11","1935","11","","","","","","","","","","","126.7","","0.0","","126.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1935-12","1935","12","","","","","","","","","","","231.6","","0.0","","231.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-01","1936","01","","","","","","","","","","","236.7","","0.0","","236.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-02","1936","02","","","","","","","","","","","91.2","","19.1","","110.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-03","1936","03","","","","","","","","","","","161.5","","0.0","T","161.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-04","1936","04","","","","","","","","","","","85.3","","2.5","","87.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-05","1936","05","","","","","","","","","","","136.4","","0.0","","136.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-06","1936","06","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-07","1936","07","","","","","","","","","","","42.4","","0.0","","42.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-08","1936","08","","","","","","","","","","","25.4","","0.0","","25.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-09","1936","09","","","","","","","","","","","114.0","","0.0","","114.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-10","1936","10","","","","","","","","","","","102.9","","0.0","","102.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-11","1936","11","","","","","","","","","","","37.8","","0.0","","37.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1936-12","1936","12","","","","","","","","","","","260.1","","1.3","","261.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-01","1937","01","","","","","","","","","","","3.8","","30.0","","33.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-02","1937","02","","","","","","","","","","","130.3","","34.3","","164.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-03","1937","03","","","","","","","","","","","86.6","","0.0","","86.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-04","1937","04","","","","","","","","","","","184.7","","0.0","","184.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-05","1937","05","","","","","","","","","","","78.7","","0.0","","78.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-06","1937","06","","","","","","","","","","","165.9","","0.0","","165.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-07","1937","07","","","","","","","","","","","7.4","","0.0","","7.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-08","1937","08","","","","","","","","","","","91.9","","0.0","","91.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-09","1937","09","","","","","","","","","","","43.7","","0.0","","43.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-10","1937","10","","","","","","","","","","","200.2","","0.0","","200.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-11","1937","11","","","","","","","","","","","262.6","","11.4","","274.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1937-12","1937","12","","","","","","","","","","","239.5","","53.3","","292.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-01","1938","01","","","","","","","","","","","129.0","","19.1","","148.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-02","1938","02","","","","","","","","","","","118.9","","7.6","","126.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-03","1938","03","","","","","","","","","","","117.3","","0.0","","117.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-04","1938","04","","","","","","","","","","","75.4","","0.0","","75.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-05","1938","05","","","","","","","","","","","46.5","","0.0","","46.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-06","1938","06","","","","","","","","","","","24.6","","0.0","","24.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-07","1938","07","","","","","","","","","","","16.8","","0.0","","16.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-08","1938","08","","","","","","","","","","","23.1","","0.0","","23.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-09","1938","09","","","","","","","","","","","49.0","","0.0","","49.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-10","1938","10","","","","","","","","","","","154.2","","0.0","","154.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-11","1938","11","","","","","","","","","","","167.4","","0.0","","167.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1938-12","1938","12","","","","","","","","","","","320.3","","8.9","","329.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-01","1939","01","","","","","","","","","","","257.3","","0.0","","257.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-02","1939","02","","","","","","","","","","","101.1","","24.1","","125.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-03","1939","03","","","","","","","","","","","91.7","","0.0","","91.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-04","1939","04","","","","","","","","","","","41.1","","0.0","","41.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-05","1939","05","","","","","","","","","","","69.6","","0.0","","69.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-06","1939","06","","","","","","","","","","","62.2","","0.0","","62.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-07","1939","07","","","","","","","","","","","61.7","","0.0","","61.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-08","1939","08","","","","","","","","","","","18.0","","0.0","","18.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-09","1939","09","","","","","","","","","","","91.4","","0.0","","91.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-10","1939","10","","","","","","","","","","","180.3","","0.0","","180.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-11","1939","11","","","","","","","","","","","322.6","","0.0","","322.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1939-12","1939","12","","","","","","","","","","","294.1","","0.0","","294.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-01","1940","01","","","","","","","","","","","105.2","","0.0","","105.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-02","1940","02","","","","","","","","","","","174.5","","0.0","","174.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-03","1940","03","","","","","","","","","","","183.6","","0.0","","183.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-04","1940","04","","","","","","","","","","","100.3","","0.0","","100.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-05","1940","05","","","","","","","","","","","74.9","","0.0","","74.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1940-06","1940","06","","","","","","","","","","","5.3","","0.0","","5.3","","","","","","",""
